False Positive Rate,True Positive Rate
0.873429952,0.997326203
0.877294686,0.997326203
0.88115942,0.997326203
0.883091787,0.997326203
0.889855072,0.997326203
0.892753623,0.997326203
0.89468599,0.997326203
0.899516908,0.997326203
0.902415459,0.997326203
0.904347826,0.997326203
0.909178744,0.997326203
0.913043478,0.997326203
0.920772947,0.997326203
0.922705314,0.997326203
0.925603865,0.997326203
0.929468599,0.997326203
0.931400966,0.997326203
0.9352657,0.997326203
0.946859903,0.997326203
0.948792271,0.997326203
0.964251208,0.997326203
0.966183575,0.997326203
0.970048309,0.997326203
0.970048309,1
0.978743961,1
0.980676329,1
0.985507246,1
0.988405797,1
0.991304348,1
0.993236715,1
1,1
